SampleID,Year,Month,Experiment,Kits,Season,Environment_plus,Incubation,Experiment_Season,Experiment_Other,Incub_Time,Exp_Time,Symptom,Exp_Time_Season
F01.21.GEL,2021,1,Gelidium,PSPro,Winter,Field,FALSE,Gelidium_Winter,Gelidium,NA,NA,NA,NA
F01.21.WAT,2021,1,Seawater,PW,Winter,Field,FALSE,Seawater_Winter,Seawater,NA,NA,NA,NA
F04.21.GEL,2021,4,Gelidium,PSPro,Winter,Field,FALSE,Gelidium_Winter,Gelidium,NA,NA,NA,NA
F04.21.SED,2021,4,Sediment,PSPro,Winter,Field,FALSE,Sediment_Winter,Sediment,NA,NA,NA,NA
F04.21.WAT,2021,4,Seawater,PW,Winter,Field,FALSE,Seawater_Winter,Seawater,NA,NA,NA,NA
F07.20.COR,2020,7,Coral,PSPro,Summer,Field,FALSE,Coral_Summer,Coral,NA,NA,NA,NA
F07.20.GEL,2020,7,Gelidium,PSPro,Summer,Field,FALSE,Gelidium_Summer,Gelidium,NA,NA,NA,NA
F07.20.SED,2020,7,Sediment,PSPro,Summer,Field,FALSE,Sediment_Summer,Sediment,NA,NA,NA,NA
F07.20.WMS,2020,7,Disease,PSPro,Summer,Field,FALSE,Disease_Summer,Disease,NA,NA,NA,NA
F07.21.COR,2021,7,Coral,PSPro,Summer,Field,FALSE,Coral_Summer,Coral,NA,NA,NA,NA
F07.21.GEL,2021,7,Gelidium,PSPro,Summer,Field,FALSE,Gelidium_Summer,Gelidium,NA,NA,NA,NA
F07.21.SED,2021,7,Sediment,PSPro,Summer,Field,FALSE,Sediment_Summer,Sediment,NA,NA,NA,NA
F07.21.WAT,2021,7,Seawater,PW,Summer,Field,FALSE,Seawater_Summer,Seawater,NA,NA,NA,NA
F09.21.GEL,2021,9,Gelidium,PSPro,Summer,Field,FALSE,Gelidium_Summer,Gelidium,NA,NA,NA,NA
F09.21.SED,2021,9,Sediment,PSPro,Summer,Field,FALSE,Sediment_Summer,Sediment,NA,NA,NA,NA
F09.21.WAT,2021,9,Seawater,PW,Summer,Field,FALSE,Seawater_Summer,Seawater,NA,NA,NA,NA
F09.21.WMS,2021,9,Disease,PSPro,Summer,Field,FALSE,Disease_Summer,Disease,NA,NA,NA,NA
F10.20.GEL,2020,10,Gelidium,PSPro,Summer,Field,FALSE,Gelidium_Summer,Gelidium,NA,NA,NA,NA
F10.20.SED,2020,10,Sediment,PSPro,Summer,Field,FALSE,Sediment_Summer,Sediment,NA,NA,NA,NA
F10.20.WAT,2020,10,Seawater,PW,Summer,Field,FALSE,Seawater_Summer,Seawater,NA,NA,NA,NA
F10.20.WMS,2020,10,Disease,PSPro,Summer,Field,FALSE,Disease_Summer,Disease,NA,NA,NA,NA
