function	F01-21-GEL	F01-21-WAT	F04-21-GEL	F04-21-SED	F04-21-WAT	F07-20-COR	F07-20-GEL	F07-20-SED	F07-20-WMS	F07-21-COR	F07-21-GEL	F07-21-SED	F07-21-WAT	F09-21-GEL	F09-21-SED	F09-21-WAT	F09-21-WMS	F10-20-GEL	F10-20-SED	F10-20-WAT	F10-20-WMS	SEnd-1A-02-WMS	SEnd-1B-05-WMS	SEnd-1C-04-WMS	SEnd-1C-06-WMS	SEnd-1D-07-WMS	SEnd-2C-04-WMS	SEnd-2C-06-WMS	SEnd-2D-05-WMS	SEnd-2D-07-WMS	SEnd-2D-09-WMS	SEnd1-WAT	SEnd2-WAT	SEnd3-WAT	SSt1-1A-COR	SSt1-1A-GEL	SSt1-WMS	SSt2-1B-COR	SSt2-1B-GEL	SSt2-WMS	SSt3-1C-COR	SSt3-1C-GEL	SSt3-WMS	SSt4-1D-COR	SSt4-1D-GEL	SSt4-WMS	SSt5-2C-COR	SSt5-2C-GEL	SSt5-WMS	SSt6-2D-COR	SSt6-2D-GEL	SSt6-WMS	WEnd1-WAT	WEnd2-WAT	WEnd3-WAT	WSt1-1A-04-GEL	WSt1-1A-COR	WSt1-WMS	WSt2-1A-05-GEL	WSt2-1C-COR	WSt2-WMS	WSt3-1A-06-GEL	WSt3-2C-COR	WSt3-WMS
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	11265.5	11341.5	15577.0	9123.43	12319.5	8656.5	7549.79	2739.0	11448.509999999998	8893.25	11687.0	12784.54	10339.5	12477.25	7883.5	10555.0	10302.25	10118.31	2321.0	9296.83	8797.8	13185.49	12182.5	12481.5	12341.0	9333.34	6954.83	8455.01	8147.5	8775.5	7791.84	8296.619999999999	7034.03	7483.75	7667.77	19646.0	10072.01	8919.5	9778.5	13813.01	7192.360000000001	9945.77	9201.9	8335.0	8765.5	9455.5	6624.0	15635.0	9671.5	4822.2	7682.8	9586.87	9567.61	13290.41	17362.5	13641.0	10751.0	11322.5	11295.5	8765.5	9722.0	8360.619999999999	14320.5	12717.0
1.1.1.136-RXN	375.0	98.0	2043.0	1199.5	0.0	77.0	100.0	137.0	586.0	169.0	607.5	1133.5	128.0	395.0	498.0	0.0	127.01	101.0	0.0	92.0	387.0	716.0	478.0	1114.0	1172.0	391.0	0.0	443.0	340.0	548.0	24.5	0.0	105.0	0.0	492.5	1235.0	979.5	402.0	108.0	1145.0	84.0	315.0	807.0	67.0	460.0	573.0	103.0	1517.0	109.0	0.0	213.0	544.0	157.0	23.0	346.0	486.0	36.0	268.0	299.0	515.0	476.0	655.5	592.0	459.5
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0
1.1.1.170-RXN	67.0	0.0	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	31.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5	0.0	0.0	5.0	0.67	149.0	522.0	235.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	849.95	0.0	206.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.251-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	814.0	1385.0	1880.0	953.5	1004.0	591.0	406.0	101.0	367.0	260.0	697.5	1856.5	321.0	450.0	1374.0	790.0	203.0	347.0	67.0	712.3299999999999	254.0	277.0	469.5	158.5	160.0	136.0	772.0	34.5	1033.0	126.5	1153.0	833.0	471.0	341.0	996.0	1033.33	669.5	651.5	178.75	242.0	95.0	633.5	74.0	267.0	429.0	108.5	145.0	2871.0	98.0	73.0	463.0	633.0	142.0	1113.0	1619.0	1136.0	1475.0	778.0	279.5	334.5	304.5	785.0	1334.5	906.5
1.1.1.261-RXN	0.0	628.0	0.0	0.0	501.0	0.0	0.0	0.0	115.5	0.0	0.0	0.0	76.0	0.0	0.0	189.0	0.67	0.0	0.0	288.0	0.0	195.0	143.0	472.5	339.0	35.0	0.0	124.5	0.0	307.5	0.0	40.0	0.0	0.0	0.0	298.0	49.0	34.0	0.0	49.0	0.0	0.0	255.0	0.0	0.0	167.5	0.0	287.0	33.0	0.0	0.0	127.0	0.0	209.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.264-RXN	119.5	0.0	0.0	0.0	0.0	0.0	63.0	20.0	0.0	141.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.5	0.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	54.0	308.0	0.0	0.0
1.1.1.271-RXN	6797.5	5056.0	5492.5	4577.0	4597.0	3174.5	2661.0	1145.5	4721.5	5170.5	5937.5	5824.5	4658.5	6758.0	1599.0	3857.5	3421.0	4955.5	551.5	2917.5	3532.0	5499.91	3665.0	5753.5	4239.5	3180.0	2021.0	3551.84	2819.0	3333.0	3326.17	2531.0	2203.5	2327.0	3281.5	6992.92	3965.09	3668.5	6041.25	5789.84	3310.5	5712.5	4027.0	3601.5	5027.0	3741.5	3095.5	4614.0	3465.0	2275.5	3324.0	3905.5	1819.0	3856.0	5588.0	5541.0	3091.5	5887.5	4702.0	3234.5	5458.5	4402.5	5208.0	6585.5
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.5	0.0	0.0	0.0	0.0	298.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.34-RXN	194.5	114.5	0.0	1646.0	0.0	762.0	38.0	0.0	921.62	232.0	138.0	2073.33	281.5	0.0	0.0	437.0	486.0	43.0	0.0	316.0	437.0	45.0	1103.0	0.0	61.0	258.67	969.0	0.0	1033.0	0.0	1785.0	625.5	804.08	139.25	16.27	1003.5	357.0	576.0	780.0	1315.0	9.36	554.27	657.0	134.0	1150.0	307.0	0.0	155.5	421.0	0.0	778.0	544.0	87.33	126.08	327.0	734.0	0.0	1045.5	204.5	249.0	645.5	496.62	62.0	0.0
1.1.1.39-RXN	3318.0	4106.0	2333.0	3400.9300000000003	2237.5	336.0	1118.79	859.5	2568.26	2541.75	2508.0	2537.04	2520.0	3595.25	865.5	2709.0	3269.55	2890.48	301.5	3008.5	3617.5	2925.08	3567.5	4538.75	3469.5	4652.42	1587.58	3406.17	2292.75	2593.25	2249.42	1663.62	1097.2	1555.75	1341.77	2766.34	1938.42	2211.5	4338.0	3912.92	1481.36	2233.27	3233.9	2106.0	2747.5	2603.75	1800.0	2073.0	3371.0	1307.0	1387.0	1695.57	4544.78	2946.08	3087.0	1148.0	773.0	2371.0	947.0	1630.0	3926.5	1286.62	1266.5	2352.5
