ASV.ID,F01.21.GEL,F01.21.WAT,F04.21.GEL,F04.21.SED,F04.21.WAT,F07.20.COR,F07.20.GEL,F07.20.SED,F07.20.WMS,F07.21.COR,F07.21.GEL,F07.21.SED,F07.21.WAT,F09.21.GEL,F09.21.SED,F09.21.WAT,F09.21.WMS,F10.20.GEL,F10.20.SED,F10.20.WAT,F10.20.WMS,SEnd.1A.02.WMS,SEnd.1B.05.WMS,SEnd.1C.04.WMS,SEnd.1C.06.WMS,SEnd.1D.07.WMS,SEnd.2C.04.WMS,SEnd.2C.06.WMS,SEnd.2D.05.WMS,SEnd.2D.07.WMS,SEnd.2D.09.WMS,SEnd1.WAT,SEnd2.WAT,SEnd3.WAT,SSt1.1A.COR,SSt1.1A.GEL,SSt1.WMS,SSt2.1B.COR,SSt2.1B.GEL,SSt2.WMS,SSt3.1C.COR,SSt3.1C.GEL,SSt3.WMS,SSt4.1D.COR,SSt4.1D.GEL,SSt4.WMS,SSt5.2C.COR,SSt5.2C.GEL,SSt5.WMS,SSt6.2D.COR,SSt6.2D.GEL,SSt6.WMS,WEnd1.WAT,WEnd2.WAT,WEnd3.WAT,WSt1.1A.04.GEL,WSt1.1A.COR,WSt1.WMS,WSt2.1A.05.GEL,WSt2.1C.COR,WSt2.WMS,WSt3.1A.06.GEL,WSt3.2C.COR,WSt3.WMS
ASV3,0,210,0,0,165,0,0,0,0,0,0,0,724,0,0,638,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,286,366,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0
ASV4,0,613,0,0,495,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,329,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,1270,0,0,0,0,0,0,0,0,0
ASV5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0
ASV6,0,0,0,0,0,797,0,30,0,305,67,0,0,0,0,0,201,0,0,0,0,74,140,0,108,136,0,0,25,32,0,0,0,0,1165,0,36,346,0,139,395,0,0,447,0,0,606,0,46,375,37,219,0,0,80,0,576,39,0,1079,0,0,397,0
ASV7,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,796,58,0,0,115,0,0,0,203,0,15,283,0,0,0,0,0,0,0,0,0,0,0,166,0,0,225,0,0,0,0,0,244,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0
ASV8,418,0,304,0,0,422,0,0,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,334,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,524,225
ASV9,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,4,0,0,0,267,0,0,54,47,0,0,0,325,0,75,0,0,0,0,0,151,0,0,105,0,0,394,0,0,0,0,0,86,144,0,138,0,0,0,0,0,0,0,0,0,0,0,0
ASV10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0,0,0,0,203,0,0,0,0,0,0,0,408,0,0,489,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,606,351,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,343,494,0,0,0,0,0,0,0,0,0
ASV13,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,394,0,0,0,275,306,106,224,128,0,0,0,270,541,160,0,0,0,0,0,263,0,0,211,0,0,180,0,0,224,0,0,283,0,0,405,270,0,0,0,0,0,0,0,0,0,0,0
ASV15,0,0,0,0,0,0,570,0,0,0,0,0,0,79,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,116,69,0,0,0,0,0,0,0
ASV17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,333,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,288,0,0,178,0,0,82,0,0,77,0,0,84,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0
ASV18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,197,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,92,0,0,302,0
ASV19,291,0,80,0,0,0,0,0,0,0,313,0,0,53,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,148,0,0,208,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,53
ASV20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,340,235,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,166,0,0,0,0,0,0,0,0,0
ASV21,0,541,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,112,0,0,0,0,0,0,0,0,0
ASV22,57,0,160,92,0,0,40,101,0,0,0,0,0,54,661,0,0,0,50,9,0,0,5,0,0,41,108,0,0,0,0,99,0,14,0,156,20,0,0,0,0,284,0,216,0,0,335,390,0,0,0,0,23,24,438,59,964,437,0,794,256,109,245,195
ASV23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,86,0,212,115,0,330,0,0,0,0,0,0,0,0,0,0,354,0,0,277,0,0,199,0,0,668,0,0,844,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
ASV24,0,0,0,0,0,0,0,45,1053,0,0,0,0,0,51,0,0,0,0,0,0,408,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1289,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV26,0,165,0,0,424,0,0,0,0,0,0,0,703,0,0,334,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,210,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0
ASV27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,116,0,17,226,0,0,0,0,0,158,44,0,307,0,0,0,0,0,109,85,0,0,0,0,0,0,0
ASV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,674,354,0,0,0,0,0,0,0,0,0
ASV30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,581,0,0,147,0,267,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,613,0,603,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,0,0,0,0
ASV33,231,0,0,104,0,213,0,0,52,0,0,224,0,118,184,0,0,0,0,0,0,0,161,0,0,0,60,0,0,0,187,0,0,0,567,64,83,351,255,0,167,191,85,431,71,94,499,0,26,50,239,35,0,0,0,320,415,191,509,50,269,0,164,444
ASV34,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,412,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,166,0,0,0,0
ASV35,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,254,0,279,0,0,0,266,0,774,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,108,101,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV38,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,122,432,0,0,434,648,0,589,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV39,0,109,0,0,356,203,0,0,0,0,0,0,358,0,0,302,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,423,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,353,0,0,0,0,0,0,0,0,0
ASV40,0,0,183,0,0,0,0,0,0,169,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,290,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV42,135,0,475,0,0,0,201,0,0,0,111,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,207,0,0,0,0,0,655,0,0,0,0,0,0,0,279,0,0,596,0,27,578,0,0
