,sample,taxonomy,mean,sd,tax_col,tax_bin,Time
1,"VH Coral
(Summer, N =6)",adenosine ribonucleotides de novo biosynthesis;PWY-7219,0.007842231,0.000257874,adenosine ribonucleotides de novo biosynthesis,PWY-7219,NA
2,"G. elegans
(Summer, N = 12)",adenosine ribonucleotides de novo biosynthesis;PWY-7219,0.007746467,0.000480961,adenosine ribonucleotides de novo biosynthesis,PWY-7219,NA
3,"WMS
(Summer, N = 10)",adenosine ribonucleotides de novo biosynthesis;PWY-7219,0.0076121,0.000423324,adenosine ribonucleotides de novo biosynthesis,PWY-7219,NA
4,"VH Coral
(Summer, N =6)",CDP-diacylglycerol biosynthesis I;PWY-5667,0.007927974,0.000114847,CDP-diacylglycerol biosynthesis I,PWY-5667,NA
5,"G. elegans
(Summer, N = 12)",CDP-diacylglycerol biosynthesis I;PWY-5667,0.007769741,0.000557745,CDP-diacylglycerol biosynthesis I,PWY-5667,NA
6,"WMS
(Summer, N = 10)",CDP-diacylglycerol biosynthesis I;PWY-5667,0.007498013,0.000310922,CDP-diacylglycerol biosynthesis I,PWY-5667,NA
7,"VH Coral
(Summer, N =6)",CDP-diacylglycerol biosynthesis II;PWY0-1319,0.007927974,0.000114847,CDP-diacylglycerol biosynthesis II,PWY0-1319,NA
8,"G. elegans
(Summer, N = 12)",CDP-diacylglycerol biosynthesis II;PWY0-1319,0.007769741,0.000557745,CDP-diacylglycerol biosynthesis II,PWY0-1319,NA
9,"WMS
(Summer, N = 10)",CDP-diacylglycerol biosynthesis II;PWY0-1319,0.007498013,0.000310922,CDP-diacylglycerol biosynthesis II,PWY0-1319,NA
10,"VH Coral
(Summer, N =6)",cis-vaccenate biosynthesis;PWY-5973,0.009123677,0.000336409,cis-vaccenate biosynthesis,PWY-5973,NA
11,"G. elegans
(Summer, N = 12)",cis-vaccenate biosynthesis;PWY-5973,0.009073013,0.000917082,cis-vaccenate biosynthesis,PWY-5973,NA
12,"WMS
(Summer, N = 10)",cis-vaccenate biosynthesis;PWY-5973,0.008821744,0.000380387,cis-vaccenate biosynthesis,PWY-5973,NA
13,"VH Coral
(Summer, N =6)",fatty acid elongation -- saturated;FASYN-ELONG-PWY,0.008566897,0.000368037,fatty acid elongation -- saturated,FASYN-ELONG-PWY,NA
14,"G. elegans
(Summer, N = 12)",fatty acid elongation -- saturated;FASYN-ELONG-PWY,0.008056199,0.001211518,fatty acid elongation -- saturated,FASYN-ELONG-PWY,NA
