"","Experiment_Other","OTU","merged","meanasv","sdasv","n"
"1","Disease","ASV1003","WPS-2_WPS-2_WPS-2_WPS-2_WPS-2_marine_metagenome",0.0371,0.1174,10
"2","Disease","ASV1010","Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota_uncultured_bacterium",0.0379,0.1199,10
"3","Disease","ASV116","Verrucomicrobiota_Verrucomicrobiae_Opitutales_Puniceicoccaceae_Pelagicoccus_uncultured_bacterium",0.0228,0.072,10
"4","Disease","ASV121","Campilobacterota_Campylobacteria_Campylobacterales_Sulfurospirillaceae_Sulfurospirillum_epsilon_proteobacterium",1.1438,2.4347,10
"5","Disease","ASV128","Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Fusibacteraceae_Fusibacter_bacterium_WH4-9",0.8528,1.811,10
"6","Disease","ASV129","Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_uncultured_uncultured_bacterium",0.3249,0.5011,10
"7","Disease","ASV13","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_Oceanispirochaeta_sediminicola",3.1867,1.9213,10
"8","Disease","ASV141","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izemoplasmataceae_bacterium_enrichment",0.6524,1.1536,10
"9","Disease","ASV157","Cyanobacteria_Vampirivibrionia_Caenarcaniphilales_Caenarcaniphilales_Caenarcaniphilales_uncultured_bacterium",0.326,0.8859,10
"10","Disease","ASV159","Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_uncultured_uncultured_organism",1.4953,1.6305,10
"11","Disease","ASV162","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_uncultured_bacterium",1.129,1.6503,10
"12","Disease","ASV169","Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_Draconibacterium_uncultured_bacterium",1.8111,1.7372,10
"13","Disease","ASV170","Cloacimonadota_Cloacimonadia_Cloacimonadales_MSBL8_MSBL8_uncultured_bacterium",0.8925,1.2518,10
"14","Disease","ASV173","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Saccharospirillaceae_uncultured_uncultured_bacterium",0.5559,0.9328,10
"15","Disease","ASV189","Cloacimonadota_Cloacimonadia_Cloacimonadales_LK-44f_LK-44f_uncultured_bacterium",0.2951,0.4514,10
"16","Disease","ASV190","Firmicutes_Clostridia_Clostridia_vadinBB60_group_Clostridia_vadinBB60_group_Clostridia_vadinBB60_group_uncultured_bacterium",1.6335,2.768,10
"17","Disease","ASV197","Patescibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_Gracilibacteria_uncultured_Compostimonas",0.3883,0.8217,10
"18","Disease","ASV20","Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_uncultured_bacterium",0.268,0.8474,10
"19","Disease","ASV203","Bacteroidota_Bacteroidia_Cytophagales_Amoebophilaceae_Candidatus_Amoebophilus_uncultured_bacterium",0.0795,0.2513,10
"20","Disease","ASV205","Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidetes_BD2-2_Bacteroidetes_BD2-2_uncultured_bacterium",2.9553,2.5017,10
"21","Disease","ASV209","Desulfobacterota_Desulfuromonadia_Desulfuromonadia_Geopsychrobacteraceae_uncultured_uncultured_bacterium",0.5755,0.7923,10
"22","Disease","ASV211","Campilobacterota_Campylobacteria_Campylobacterales_uncultured_uncultured_uncultured_bacterium",0.9389,1.236,10
"23","Disease","ASV219","Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Marinifilum_Marinifilum_sp.",0.9844,1.1644,10
"24","Disease","ASV225","Patescibacteria_Gracilibacteria_Absconditabacteriales_(SR1)_Absconditabacteriales_(SR1)_Absconditabacteriales_(SR1)_uncultured_bacterium",0.0322,0.102,10
"25","Disease","ASV227","Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_uncultured_eubacterium",0.3518,0.9044,10
"26","Disease","ASV23","Proteobacteria_Gammaproteobacteria_Beggiatoales_Beggiatoaceae_Thioflexothrix_Beggiatoa_sp.",3.0799,3.5481,10
"27","Disease","ASV231","Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Crocinitomix_uncultured_bacterium",0.0379,0.1199,10
"28","Disease","ASV232","Planctomycetota_vadinHA49_vadinHA49_vadinHA49_vadinHA49_uncultured_bacterium",0.0891,0.2818,10
"29","Disease","ASV233","Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Robiginitalea_uncultured_bacterium",0.0581,0.1839,10
"30","Disease","ASV24","Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta_2_uncultured_bacterium",1.0933,1.1172,10
"31","Disease","ASV249","Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Fusibacteraceae_Fusibacter_Acidaminobacter_sp.",0.1032,0.3263,10
"32","Disease","ASV256","Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_Roseimarinus_Prolixibacteraceae_bacterium",0.6045,0.817,10
"33","Disease","ASV264","Firmicutes_Clostridia_Christensenellales_Christensenellaceae_uncultured_uncultured_bacterium",0.3445,0.844,10
"34","Disease","ASV265","Proteobacteria_Gammaproteobacteria_Thiohalorhabdales_Thiohalorhabdaceae_uncultured_uncultured_bacterium",0.2035,0.6436,10
"35","Disease","ASV267","Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_uncultured_uncultured_Cytophaga",0.0625,0.1977,10
"36","Disease","ASV272","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_uncultured_bacterium",1.4505,1.0739,10
"37","Disease","ASV273","Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacter_delta_proteobacterium",0.3166,0.5313,10
"38","Disease","ASV274","Firmicutes_Bacilli_Izemoplasmatales_Izemoplasmataceae_Izimaplasma_Candidatus_Izimaplasma",0.1735,0.3819,10
"39","Disease","ASV275","Proteobacteria_Gammaproteobacteria_Oceanospirillales_Nitrincolaceae_Neptuniibacter_uncultured_bacterium",0.5714,1.2559,10
"40","Disease","ASV276","Bacteroidota_Bacteroidia_uncultured_uncultured_uncultured_uncultured_bacterium",2.0676,1.2488,10
"41","Disease","ASV289","Cloacimonadota_Cloacimonadia_Cloacimonadales_LK-44f_LK-44f_uncultured_gamma",0.0948,0.2998,10
