date,name,type,value,,date
08/31/2020 02:40:00,3A-01t,Temp,27.6,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-02t,Temp,26.3,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-03t,Temp,26.7,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-04t,Temp,27.4,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-05t,Temp,27.1,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-06t,Temp,26.2,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-07t,Temp,26.5,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-01t,Temp,26.6,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-02t,Temp,26,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-04t,Temp,26.8,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-05t,Temp,27.2,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-06t,Temp,27.5,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-07t,Temp,26.5,,08/31/2020 02:40:00
08/31/2020 02:40:00,3A-08t,Temp,27.7,,08/31/2020 02:40:00
08/31/2020 02:40:00,3B-08t,Temp,27.2,,08/31/2020 02:40:00
08/31/2020 03:50:00,3A-01t,Temp,27.5,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-02t,Temp,26.3,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-03t,Temp,26.7,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-04t,Temp,27.3,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-05t,Temp,27.1,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-06t,Temp,26.2,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-07t,Temp,26.5,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-01t,Temp,26.6,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-02t,Temp,25.7,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-04t,Temp,26.4,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-05t,Temp,27.1,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-06t,Temp,27.3,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-07t,Temp,26.2,,08/31/2020 03:50:00
08/31/2020 03:50:00,3A-08t,Temp,27.6,,08/31/2020 03:50:00
08/31/2020 03:50:00,3B-08t,Temp,27.1,,08/31/2020 03:50:00
08/31/2020 05:00:00,3A-01t,Temp,27.3,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-02t,Temp,26.3,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-03t,Temp,26.6,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-04t,Temp,27.2,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-05t,Temp,27.1,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-06t,Temp,26.2,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-07t,Temp,26.4,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-01t,Temp,26.6,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-02t,Temp,25.7,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-04t,Temp,26.3,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-05t,Temp,27,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-06t,Temp,27.3,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-07t,Temp,26.2,,08/31/2020 05:00:00
08/31/2020 05:00:00,3A-08t,Temp,27.5,,08/31/2020 05:00:00
08/31/2020 05:00:00,3B-08t,Temp,27.1,,08/31/2020 05:00:00
08/31/2020 06:10:00,3A-01t,Temp,27.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-02t,Temp,26.3,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-03t,Temp,26.6,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-04t,Temp,27.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-05t,Temp,27.1,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-06t,Temp,26.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-07t,Temp,26.4,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-01t,Temp,26.5,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-02t,Temp,25.6,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-04t,Temp,26.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-05t,Temp,26.9,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-06t,Temp,27.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-07t,Temp,26.2,,08/31/2020 06:10:00
08/31/2020 06:10:00,3A-08t,Temp,27.5,,08/31/2020 06:10:00
08/31/2020 06:10:00,3B-08t,Temp,27.1,,08/31/2020 06:10:00
08/31/2020 07:20:00,3A-01t,Temp,27.4,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-02t,Temp,26.3,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-03t,Temp,26.6,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-04t,Temp,27.2,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-05t,Temp,27.1,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-06t,Temp,26.2,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-07t,Temp,26.4,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-01t,Temp,26.5,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-02t,Temp,25.6,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-04t,Temp,26.2,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-05t,Temp,27,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-06t,Temp,27.3,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-07t,Temp,26.2,,08/31/2020 07:20:00
08/31/2020 07:20:00,3A-08t,Temp,27.6,,08/31/2020 07:20:00
08/31/2020 07:20:00,3B-08t,Temp,27.1,,08/31/2020 07:20:00
08/31/2020 08:30:00,3A-01t,Temp,27.5,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-02t,Temp,26.3,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-03t,Temp,26.6,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-04t,Temp,27.3,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-05t,Temp,27.1,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-06t,Temp,26.2,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-07t,Temp,26.4,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-01t,Temp,26.3,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-02t,Temp,25.6,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-04t,Temp,26.1,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-05t,Temp,27,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-06t,Temp,27.3,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-07t,Temp,26.1,,08/31/2020 08:30:00
08/31/2020 08:30:00,3A-08t,Temp,27.6,,08/31/2020 08:30:00
08/31/2020 08:30:00,3B-08t,Temp,27.1,,08/31/2020 08:30:00
08/31/2020 09:40:00,3A-01t,Temp,27.6,,08/31/2020 09:40:00
08/31/2020 09:40:00,3A-02t,Temp,26.5,,08/31/2020 09:40:00
08/31/2020 09:40:00,3A-03t,Temp,26.7,,08/31/2020 09:40:00
08/31/2020 09:40:00,3A-04t,Temp,27.4,,08/31/2020 09:40:00
08/31/2020 09:40:00,3A-05t,Temp,27.2,,08/31/2020 09:40:00
08/31/2020 09:40:00,3A-06t,Temp,26.3,,08/31/2020 09:40:00
08/31/2020 09:40:00,3B-07t,Temp,26.5,,08/31/2020 09:40:00
