date,value
08/31/2020,27.6
08/31/2020,26.3
08/31/2020,26.7
08/31/2020,27.4
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.5
08/31/2020,26.6
08/31/2020,26
08/31/2020,26.8
08/31/2020,27.2
08/31/2020,27.5
08/31/2020,26.5
08/31/2020,27.7
08/31/2020,27.2
08/31/2020,27.5
08/31/2020,26.3
08/31/2020,26.7
08/31/2020,27.3
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.5
08/31/2020,26.6
08/31/2020,25.7
08/31/2020,26.4
08/31/2020,27.1
08/31/2020,27.3
08/31/2020,26.2
08/31/2020,27.6
08/31/2020,27.1
08/31/2020,27.3
08/31/2020,26.3
08/31/2020,26.6
08/31/2020,27.2
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.4
08/31/2020,26.6
08/31/2020,25.7
08/31/2020,26.3
08/31/2020,27
08/31/2020,27.3
08/31/2020,26.2
08/31/2020,27.5
08/31/2020,27.1
08/31/2020,27.2
08/31/2020,26.3
08/31/2020,26.6
08/31/2020,27.2
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.4
08/31/2020,26.5
08/31/2020,25.6
08/31/2020,26.2
08/31/2020,26.9
08/31/2020,27.2
08/31/2020,26.2
08/31/2020,27.5
08/31/2020,27.1
08/31/2020,27.4
08/31/2020,26.3
08/31/2020,26.6
08/31/2020,27.2
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.4
08/31/2020,26.5
08/31/2020,25.6
08/31/2020,26.2
08/31/2020,27
08/31/2020,27.3
08/31/2020,26.2
08/31/2020,27.6
08/31/2020,27.1
08/31/2020,27.5
08/31/2020,26.3
08/31/2020,26.6
08/31/2020,27.3
08/31/2020,27.1
08/31/2020,26.2
08/31/2020,26.4
08/31/2020,26.3
08/31/2020,25.6
08/31/2020,26.1
08/31/2020,27
08/31/2020,27.3
08/31/2020,26.1
08/31/2020,27.6
08/31/2020,27.1
08/31/2020,27.6
08/31/2020,26.5
08/31/2020,26.7
08/31/2020,27.4
08/31/2020,27.2
08/31/2020,26.3
08/31/2020,26.5
08/31/2020,26.5
08/31/2020,25.7
08/31/2020,26.2
08/31/2020,27.1
08/31/2020,27.5
08/31/2020,26.1
08/31/2020,27.7
08/31/2020,26.8
08/31/2020,27.7
08/31/2020,26.6
08/31/2020,26.8
08/31/2020,27.6
08/31/2020,27.4
08/31/2020,26.5
08/31/2020,26.6
08/31/2020,26.7
08/31/2020,25.8
08/31/2020,26.3
08/31/2020,27.3
08/31/2020,27.8
08/31/2020,26.2
08/31/2020,28
08/31/2020,27
08/31/2020,27.8
08/31/2020,26.8
08/31/2020,27
08/31/2020,27.7
08/31/2020,27.5
08/31/2020,26.7
08/31/2020,26.7
08/31/2020,26.8
08/31/2020,26
08/31/2020,26.5
08/31/2020,27.5
08/31/2020,28
08/31/2020,26.3
08/31/2020,28.1
08/31/2020,27.2
08/31/2020,27.8
08/31/2020,26.8
08/31/2020,27.1
08/31/2020,27.7
08/31/2020,27.5
08/31/2020,26.6
08/31/2020,26.7
08/31/2020,26.8
08/31/2020,26
08/31/2020,26.5
08/31/2020,27.5
08/31/2020,27.8
08/31/2020,26.3
08/31/2020,28
08/31/2020,27.2
08/31/2020,28
08/31/2020,27
08/31/2020,27.2
08/31/2020,27.9
08/31/2020,27.6
08/31/2020,26.8
08/31/2020,26.9
08/31/2020,27
08/31/2020,26.1
08/31/2020,26.7
08/31/2020,27.7
08/31/2020,28.1
08/31/2020,26.6
08/31/2020,28.3
08/31/2020,27.4
08/31/2020,27.8
08/31/2020,26.7
08/31/2020,27.1
08/31/2020,27.8
08/31/2020,27.5
08/31/2020,26.5
08/31/2020,26.8
08/31/2020,26.8
08/31/2020,25.8
08/31/2020,26.6
08/31/2020,27.6
08/31/2020,27.8
08/31/2020,26.6
08/31/2020,28.1
08/31/2020,27.1
08/31/2020,27.3
08/31/2020,26.7
08/31/2020,27
08/31/2020,27.6
08/31/2020,27.1
08/31/2020,26.5
08/31/2020,26.7
08/31/2020,26.8
08/31/2020,27.3
08/31/2020,27.7
08/31/2020,27.3
08/31/2020,27.5
08/31/2020,26.5
08/31/2020,27.8
08/31/2020,27.2
08/31/2020,26.9
08/31/2020,26.5
08/31/2020,26.7
08/31/2020,27.2
08/31/2020,26.8
08/31/2020,26.3
08/31/2020,26.5
08/31/2020,26.8
08/31/2020,27.1
08/31/2020,27.3
08/31/2020,27
08/31/2020,27.2
08/31/2020,26.2
08/31/2020,27.3
08/31/2020,27
08/31/2020,26.6
08/31/2020,26.2
08/31/2020,26.2
08/31/2020,26.7
08/31/2020,26.5
08/31/2020,25.6
08/31/2020,26.2
08/31/2020,26.2
08/31/2020,26.7
08/31/2020,27
08/31/2020,26.5
08/31/2020,26.8
08/31/2020,25.8
08/31/2020,26.8
08/31/2020,26.5
08/31/2020,26.6
08/31/2020,24.7
08/31/2020,24.3
08/31/2020,25
08/31/2020,24
