date,name,type,value
08/31/2020 02:40:00,3A-01p,pH,8.16
08/31/2020 02:40:00,3A-02p,pH,7.89
08/31/2020 02:40:00,3A-03p,pH,7.97
08/31/2020 02:40:00,3A-04p,pH,7.86
08/31/2020 02:40:00,3A-05p,pH,8.16
08/31/2020 02:40:00,3A-06p,pH,7.83
08/31/2020 02:40:00,3B-07p,pH,8.28
08/31/2020 02:40:00,3B-01p,pH,8.27
08/31/2020 02:40:00,3B-02p,pH,7.84
08/31/2020 02:40:00,3B-03p,pH,8.08
08/31/2020 02:40:00,3B-04p,pH,7.73
08/31/2020 02:40:00,3B-05p,pH,8.11
08/31/2020 02:40:00,3B-06p,pH,7.83
08/31/2020 02:40:00,3A-07p,pH,8.16
08/31/2020 02:40:00,3A-08p,pH,7.86
08/31/2020 02:40:00,3B-08p,pH,8
08/31/2020 03:50:00,3A-01p,pH,8.13
08/31/2020 03:50:00,3A-02p,pH,7.89
08/31/2020 03:50:00,3A-03p,pH,7.87
08/31/2020 03:50:00,3A-04p,pH,7.82
08/31/2020 03:50:00,3A-05p,pH,8.15
08/31/2020 03:50:00,3A-06p,pH,7.81
08/31/2020 03:50:00,3B-07p,pH,8.26
08/31/2020 03:50:00,3B-01p,pH,8.25
08/31/2020 03:50:00,3B-02p,pH,7.83
08/31/2020 03:50:00,3B-03p,pH,8.07
08/31/2020 03:50:00,3B-04p,pH,7.74
08/31/2020 03:50:00,3B-05p,pH,8.07
08/31/2020 03:50:00,3B-06p,pH,7.77
08/31/2020 03:50:00,3A-07p,pH,8.12
08/31/2020 03:50:00,3A-08p,pH,7.76
08/31/2020 03:50:00,3B-08p,pH,7.98
08/31/2020 05:00:00,3A-01p,pH,8.12
08/31/2020 05:00:00,3A-02p,pH,7.8
08/31/2020 05:00:00,3A-03p,pH,7.81
08/31/2020 05:00:00,3A-04p,pH,7.76
08/31/2020 05:00:00,3A-05p,pH,8.14
08/31/2020 05:00:00,3A-06p,pH,7.8
08/31/2020 05:00:00,3B-07p,pH,8.24
08/31/2020 05:00:00,3B-01p,pH,8.25
08/31/2020 05:00:00,3B-02p,pH,7.56
08/31/2020 05:00:00,3B-03p,pH,8
08/31/2020 05:00:00,3B-04p,pH,7.9
08/31/2020 05:00:00,3B-05p,pH,8.06
08/31/2020 05:00:00,3B-06p,pH,7.89
08/31/2020 05:00:00,3A-07p,pH,8.11
08/31/2020 05:00:00,3A-08p,pH,7.82
08/31/2020 05:00:00,3B-08p,pH,7.96
08/31/2020 06:10:00,3A-01p,pH,8.13
08/31/2020 06:10:00,3A-02p,pH,7.81
08/31/2020 06:10:00,3A-03p,pH,7.82
08/31/2020 06:10:00,3A-04p,pH,7.81
08/31/2020 06:10:00,3A-05p,pH,8.13
08/31/2020 06:10:00,3A-06p,pH,7.8
08/31/2020 06:10:00,3B-07p,pH,8.23
08/31/2020 06:10:00,3B-01p,pH,8.23
08/31/2020 06:10:00,3B-02p,pH,7.79
08/31/2020 06:10:00,3B-03p,pH,8.03
08/31/2020 06:10:00,3B-04p,pH,7.87
08/31/2020 06:10:00,3B-05p,pH,8.05
08/31/2020 06:10:00,3B-06p,pH,7.88
08/31/2020 06:10:00,3A-07p,pH,8.11
08/31/2020 06:10:00,3A-08p,pH,7.77
08/31/2020 06:10:00,3B-08p,pH,7.96
08/31/2020 07:20:00,3A-01p,pH,8.1
08/31/2020 07:20:00,3A-02p,pH,7.8
08/31/2020 07:20:00,3A-03p,pH,7.85
08/31/2020 07:20:00,3A-04p,pH,7.9
08/31/2020 07:20:00,3A-05p,pH,8.11
08/31/2020 07:20:00,3A-06p,pH,7.78
08/31/2020 07:20:00,3B-07p,pH,8.22
