date,value
12/02/2019,20.3
12/02/2019,23.2
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.8
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.8
12/02/2019,20.5
12/02/2019,20.9
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23.8
12/02/2019,21
12/02/2019,21
12/02/2019,21.2
12/02/2019,21
12/02/2019,20.9
12/02/2019,21
12/02/2019,21.2
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.9
12/02/2019,20.5
12/02/2019,20.9
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23.5
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.8
12/02/2019,21
12/02/2019,21.2
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.9
12/02/2019,20.5
12/02/2019,20.9
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.8
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.8
12/02/2019,20.5
12/02/2019,20.8
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,22.9
12/02/2019,21
12/02/2019,21
12/02/2019,21
12/02/2019,20.9
12/02/2019,20.8
12/02/2019,20.9
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.8
12/02/2019,20.5
12/02/2019,20.9
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23.6
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.9
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.9
12/02/2019,20.5
12/02/2019,20.8
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23.7
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.9
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.8
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.9
12/02/2019,20.5
12/02/2019,20.8
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,23.3
12/02/2019,21
12/02/2019,21
12/02/2019,21.1
12/02/2019,21
12/02/2019,20.8
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.7
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.8
12/02/2019,20.5
12/02/2019,20.8
12/02/2019,21.3
12/02/2019,20.3
12/02/2019,22.9
12/02/2019,21
12/02/2019,21
12/02/2019,21
12/02/2019,21
12/02/2019,20.8
12/02/2019,21
12/02/2019,21.1
12/02/2019,21.5
12/02/2019,20.7
12/02/2019,20.3
12/02/2019,21
12/02/2019,20.8
