Tank,Treatment,Day,Mortality,Mortality_1
1A-03,Control,44,1,0
1A-04,Con_Mak,44,1,0
1A-05,Ncon_Mak,44,1,0
1A-06,Sediment,44,1,0
1A-08,WMS,44,1,0
1B-02,Control,44,1,0
1B-03,Con_Mak,44,1,0
1B-04,Ncon_Mak,44,1,0
1B-05,Sediment,44,1,0
1B-08,WMS,44,1,0
1C-02,Control,44,1,0
1C-05,Con_Mak,44,1,0
1C-06,Ncon_Mak,44,1,0
1C-07,Sediment,44,1,0
1C-08,WMS,44,1,0
1D-02,Control,44,1,0
1D-05,Con_Mak,44,1,0
1D-06,Ncon_Mak,44,1,0
1D-07,Sediment,44,1,0
1D-08,WMS,44,1,0
2C-02,WMS,44,1,0
2C-04,Sediment,44,1,0
2C-06,Ncon_Mak,44,1,0
2C-07,Con_Mak,44,1,0
2C-08,Control,44,1,0
2D-02,WMS,44,1,0
2D-04,Sediment,44,1,0
2D-06,Ncon_Mak,44,1,0
2D-07,Con_Mak,44,1,0
2D-08,Control,44,1,0
