day,Date,variable,n,mean,sd
1,2019-12-10,Temp_all,54,19.688,0.209
2,2019-12-11,Temp_all,144,20.279,0.466
3,2019-12-12,Temp_all,144,19.997,0.332
4,2019-12-13,Temp_all,144,19.413,0.184
5,2019-12-14,Temp_all,144,19.121,0.3
6,2019-12-15,Temp_all,144,19.417,0.3
7,2019-12-16,Temp_all,144,19.686,0.44
8,2019-12-17,Temp_all,144,20.397,0.143
9,2019-12-18,Temp_all,144,20.819,0.169
10,2019-12-19,Temp_all,144,20.259,0.155
11,2019-12-20,Temp_all,144,20.361,0.106
12,2019-12-21,Temp_all,144,20.195,0.12
13,2019-12-22,Temp_all,144,20.152,0.301
14,2019-12-23,Temp_all,144,19.522,0.121
15,2019-12-24,Temp_all,144,20.319,0.641
16,2019-12-25,Temp_all,144,20.345,0.158
17,2019-12-26,Temp_all,144,20.017,0.139
18,2019-12-27,Temp_all,144,20.222,0.281
19,2019-12-28,Temp_all,144,19.75,0.202
20,2019-12-29,Temp_all,144,19.313,0.12
21,2019-12-30,Temp_all,144,19.404,0.257
22,2019-12-31,Temp_all,144,19.998,0.225
23,2020-01-01,Temp_all,144,19.246,0.243
24,2020-01-02,Temp_all,144,18.733,0.14
25,2020-01-03,Temp_all,144,18.493,0.156
26,2020-01-04,Temp_all,144,18.765,0.259
27,2020-01-05,Temp_all,144,18.751,0.144
28,2020-01-06,Temp_all,144,18.735,0.18
29,2020-01-07,Temp_all,144,18.566,0.195
30,2020-01-08,Temp_all,144,18.769,0.289
31,2020-01-09,Temp_all,144,18.412,0.189
32,2020-01-10,Temp_all,144,18.628,0.446
33,2020-01-11,Temp_all,144,18.09,0.143
34,2020-01-12,Temp_all,144,18.04,0.182
35,2020-01-13,Temp_all,144,17.85,0.219
36,2020-01-14,Temp_all,144,17.743,0.464
37,2020-01-15,Temp_all,144,18.096,0.122
38,2020-01-16,Temp_all,144,17.864,0.204
39,2020-01-17,Temp_all,144,17.405,0.381
40,2020-01-18,Temp_all,144,16.509,0.132
41,2020-01-19,Temp_all,144,17.458,0.823
42,2020-01-20,Temp_all,144,18.023,0.144
43,2020-01-21,Temp_all,144,17.828,0.178
44,2020-01-22,Temp_all,144,17.955,1.395
45,2020-01-23,Temp_all,144,19.224,1.599
