"","kingdom","phylum","class","order","family","genus","species"
"ASV713","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureisphaera","Aureisphaera_salina"
"ASV166","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV233","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","uncultured_bacterium"
"ASV143","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicellaceae","uncultured_bacterium"
"ASV38","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","uncultured_bacterium"
"ASV162","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta","uncultured_bacterium"
"ASV918","Bacteria","Gemmatimonadota","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","PAUC43f_marine_benthic_group","uncultured_sediment"
"ASV118","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella","Arenicella_chitinivorans"
"ASV994","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","uncultured","uncultured_bacterium"
"ASV829","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella","uncultured_Bacteroidetes"
"ASV834","Bacteria","Firmicutes","Bacilli","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV908","Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","uncultured_marine"
"ASV837","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","uncultured_bacterium"
"ASV608","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter_nonamiensis"
"ASV312","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maribacter","Pibocella_sp."
"ASV148","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","uncultured_bacterium"
"ASV470","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Spirochaeta_isovalerica"
"ASV1041","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured","uncultured_bacterium"
"ASV690","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium","uncultured_bacterium"
"ASV485","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae","uncultured_Bacteroidetes"
"ASV324","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulforhopalus","uncultured_delta"
"ASV549","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","uncultured_bacterium"
"ASV173","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","uncultured","uncultured_bacterium"
"ASV810","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","uncultured","uncultured_bacterium"
"ASV800","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured_bacterium"
"ASV72","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Moorea","Moorea_producens"
"ASV128","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","bacterium_WH4-9"
"ASV65","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga","uncultured_Flavobacteriaceae"
"ASV1083","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","uncultured","uncultured_bacterium"
"ASV729","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","uncultured_bacterium"
"ASV1097","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Bacteroidetes"
"ASV628","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured","uncultured_bacterium"
"ASV63","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio_salexigens"
"ASV49","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Amphritea","uncultured_gamma"
"ASV615","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","uncultured","uncultured","uncultured_bacterium"
"ASV611","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10","uncultured_Acidobacteriaceae"
"ASV329","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","marine_metagenome"
"ASV1092","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","uncultured_Campylobacterales"
"ASV878","Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","uncultured_bacterium"
"ASV847","Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria","uncultured_sediment"
"ASV968","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group","uncultured_bacterium_marine"
"ASV219","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Marinifilum","Marinifilum_sp."
