"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV166",0.00699567540066141,0,0,0,0,0.0136922176711527,0.00488665671236596,0.0452007444828503,0,0,0,0
"ASV829",0,0,0.00596347372344391,0,0,0,0,0,0,0,0,0
"ASV339",0,0,0,0,0,0,0,0,0,0,0.0193329668315925,0
"ASV837",0,0,0.00782705926202013,0,0,0,0,0.00531773464504121,0.00422042686603159,0,0,0
"ASV608",0,0,0.0106224375698845,0,0,0,0,0,0,0,0,0
"ASV148",0,0,0,0,0,0,0,0,0.0168817074641264,0.0181924028525688,0,0.00636205899363794
"ASV438",0,0,0,0,0,0,0,0,0,0,0,0.0202429149797571
"ASV470",0,0,0,0,0,0,0,0,0,0.00873235336923301,0,0
"ASV192",0,0,0,0,0.0134350816852966,0,0,0,0,0,0.0407733186732637,0.00370156159629844
"ASV29",0,0,0,0.0170657157412124,0,0,0,0,0,0,0,0
"ASV1102",0,0,0,0,0,0,0,0.000797660196756182,0,0,0,0
"ASV405",0,0,0.0173313455087589,0,0,0.0108835576360445,0.019275145920999,0,0,0,0,0
"ASV485",0,0,0,0,0,0,0,0,0,0.00887789259205356,0,0
"ASV324",0,0,0,0,0,0,0,0,0,0.0107699024887207,0,0
"ASV800",0,0,0.00307491613865076,0,0,0,0,0,0,0,0.00522264980758659,0
"ASV72",0,0,0,0,0.0133276010318143,0,0,0,0,0,0,0
"ASV65",0,0,0,0,0,0,0,0,0.00880260460629446,0,0,0
"ASV628",0,0,0,0,0,0,0,0,0,0,0.00962067069818582,0
"ASV67",0,0.0382205513784461,0,0.0272542027508915,0,0,0,0,0,0,0,0
"ASV611",0,0,0,0,0,0,0.0158816343151894,0,0,0,0,0
"ASV329",0,0.0145676691729323,0,0,0,0,0,0,0,0,0,0
"ASV409",0,0,0,0,0,0,0,0.0247274660994416,0,0,0,0
"ASV560",0,0,0,0,0.0139724849527085,0,0.0077372064612461,0,0,0,0.00366501740883269,0
"ASV216",0.0150089035868736,0,0.0262765560939247,0,0,0,0,0.0227333156075512,0,0,0,0
"ASV468",0.0155176799796489,0,0,0,0,0,0,0.0138261100771072,0,0.00756803958666861,0,0.0124927703875072
"ASV275",0,0,0,0,0,0,0,0,0.0270107319426022,0,0,0
"ASV719",0,0,0,0,0,0,0,0,0.018569878210539,0,0,0
"ASV18",0,0,0,0,0,0,0,0,0.0110936934764259,0,0.0276708814366868,0
"ASV11",0,0,0,0.0258532857870606,0,0,0,0,0,0,0,0
"ASV73",0,0,0,0,0.00451418744625967,0,0,0,0,0,0,0
"ASV656",0,0,0,0,0,0,0,0,0,0.0104788240430796,0,0
"ASV116",0,0,0,0,0,0.00210649502633119,0,0.0146237702738633,0,0.00916897103769466,0,0
"ASV1020",0.00356143474942763,0,0,0,0,0,0,0.00172826375963839,0,0,0,0
"ASV493",0,0,0,0.0196128374936322,0,0,0,0,0,0,0,0
"ASV381",0,0,0,0.0245797249108507,0,0,0,0,0,0,0,0
"ASV445",0,0,0,0,0,0,0,0.0228662589736772,0,0,0,0
"ASV102",0,0,0,0,0.0195614789337919,0,0,0.0507843658601436,0,0.0416242177266773,0,0
"ASV453",0,0,0,0,0,0,0.0099090538889643,0,0,0,0.0154846985523181,0
"ASV1023",0,0,0,0,0,0.00304271503803394,0,0,0,0,0,0
"ASV1027",0,0,0,0,0,0,0,0.00372241425152885,0,0,0,0
"ASV655",0,0,0,0,0,0,0,0,0,0,0.00943741982774418,0
"ASV258",0,0,0,0,0,0.0146284376828555,0.0342065969865617,0,0,0,0,0
"ASV577",0,0,0,0,0,0,0,0,0,0,0.00613890415979476,0
"ASV599",0.00559654032052913,0,0.025624301155423,0,0,0,0,0,0.0133847823465573,0,0,0.00358588779641411
"ASV607",0.00941236326634444,0,0,0,0,0,0,0,0,0,0,0
"ASV295",0,0,0.00670890793887439,0,0,0,0,0,0,0,0,0
"ASV188",0,0,0.0278606038017145,0,0,0,0,0,0,0,0,0
"ASV1013",0,0,0,0,0.0032244196044712,0,0,0,0,0,0,0
"ASV207",0,0,0,0,0.00849097162510748,0,0,0,0,0,0,0
"ASV604",0,0.0144110275689223,0,0.0150280183392766,0,0,0,0,0,0,0,0
"ASV92",0,0,0,0,0,0,0,0.0505184791278915,0,0,0,0
"ASV767",0,0,0,0,0,0,0,0,0,0,0,0.00867553499132447
"ASV594",0,0,0.0111815132314573,0,0,0,0,0,0,0,0,0
"ASV89",0.00597812261511066,0,0.0375512486023108,0,0,0.0368636629607958,0,0,0.0379838417942843,0,0,0
"ASV126",0.0303993894683287,0,0.0153745806932538,0,0,0,0,0,0,0,0,0
"ASV113",0,0.0493421052631579,0,0,0,0,0,0,0,0,0,0
"ASV214",0,0.0164473684210526,0,0.0360417727967397,0,0,0,0,0,0,0,0
"ASV54",0.0756804884253371,0,0.0841408870667164,0,0.0986672398968186,0.0415447630193095,0.0852450115379395,0.0720553044403084,0.0678885807307368,0.0218308834230825,0.152647975077882,0.149450549450549
"ASV242",0,0,0,0,0.019883920894239,0,0,0,0,0,0.0238226131574125,0
"ASV725",0,0,0,0,0,0,0,0,0,0,0.00256551218618288,0
"ASV59",0,0,0.01332463660082,0,0.00386930352536543,0,0,0,0,0,0,0
"ASV308",0,0,0,0,0,0,0,0,0.0267695646931147,0,0,0
"ASV431",0.0123378275248028,0,0.00857249347745061,0,0,0,0,0,0,0,0,0
"ASV46",0.0311625540574917,0,0.0186358553857622,0,0,0,0,0,0,0,0,0.0333140543666859
"ASV796",0.0031798524548461,0,0,0,0,0.00819192510239906,0.00909461110356997,0.00518479127891518,0,0,0.00329851566794942,0
"ASV827",0,0,0,0,0,0,0,0,0,0,0.00595565328935312,0
"ASV331",0,0,0.0108087961237421,0,0,0,0,0,0,0,0,0
