"","F01.21.GEL","F01.21.WAT","F04.21.GEL","F04.21.SED","F04.21.WAT","F07.20.COR","F07.20.GEL","F07.20.SED","F07.20.WMS","F07.21.COR","F07.21.GEL","F07.21.SED","F07.21.WAT","F09.21.GEL","F09.21.SED","F09.21.WAT","F09.21.WMS","F10.20.GEL","F10.20.SED","F10.20.WAT","F10.20.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WSt1.1A.04.GEL","WSt1.1A.COR","WSt2.1A.05.GEL","WSt2.1C.COR","WSt3.1A.06.GEL","WSt3.2C.COR"
"ASV461",0,0,0,0,0,0,0,0,0.0122254455035226,0,0,0,0,0,0,0,0.0201588271227856,0,0,0,0.019915509957755,0,0,0,0,0,0.0118188928478318,0,0,0,0,0,0,0,0,0.00846867749419954,0,0,0.00762016412661196,0,0,0,0,0,0
"ASV940",0,0,0,0,0,0,0,0.0211886304909561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00572687224669604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343380981976383,0,0,0.0182504719949654,0,0.00147736160597897,0.0326589595375723,0,0,0.0630229659960833,0,0,0.0303554274735831,0.00467537987461481,0,0.064740615773935,0,0,0.0117153912295787,0.00994733762434172,0,0,0,0
"ASV471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187935034802784,0,0,0,0,0,0,0,0,0
"ASV111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183531746031746,0,0,0,0,0.0536127167630058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV299",0,0.0238095238095238,0,0,0.0187213448802853,0,0,0,0,0,0,0,0.0186988100757225,0,0,0.0140319258496395,0,0,0,0.0154171704957678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016122098022356,0,0,0,0,0
"ASV231",0,0,0.0315877748788669,0,0,0,0,0,0.00518027351844177,0,0,0,0,0,0,0,0.00452046426389737,0,0,0,0,0,0,0.00379218809252939,0,0,0,0,0,0,0,0.00275750202757502,0,0,0,0,0,0,0,0,0,0,0,0,0.0147516950705516
"ASV502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00838349097162511,0,0.0199415049189045,0,0,0
"ASV82",0,0.0407268170426065,0,0,0.0455934793683138,0,0,0,0,0,0,0,0.00849945912532839,0,0,0.0710607621009269,0,0,0,0.0592503022974607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716845878136201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037122969837587,0,0,0,0,0,0,0,0,0
"ASV888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833857772183763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022389181066867,0.243727598566308,0.0355199516324063,0,0,0,0.0267981291872077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV647",0,0,0,0,0,0,0,0,0.0107749689183589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448260806287294,0
"ASV557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187861271676301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509387279871925,0
"ASV26",0,0.0258458646616541,0,0,0.053998981151299,0,0,0,0,0,0,0,0.108638541183743,0,0,0.0429969104016478,0,0,0,0.0362756952841596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV652",0,0,0,0,0,0,0,0,0.0017612929962702,0,0,0,0,0,0,0,0.011362248014661,0,0,0,0.00482800241400121,0,0,0.00176968777651372,0,0,0.00643086816720257,0,0,0,0,0,0.00872736746124788,0,0,0.004292343387471,0,0,0.00996483001172333,0,0,0,0,0,0
"ASV894",0.00661409310607988,0,0,0,0,0,0,0,0,0,0,0,0,0.00588913071309691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00733156364555682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV116",0,0,0,0,0,0,0,0,0,0,0,0,0.0122083140163808,0,0,0,0,0,0,0.00136033857315599,0,0,0,0.00227531285551763,0,0,0,0,0,0,0,0.059367396593674,0,0,0,0,0,0,0,0,0.00210649502633119,0.0146237702738633,0,0.00916897103769466,0
"ASV824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048776455026455,0,0,0,0,0,0.00475578406169666,0,0,0,0,0,0,0,0,0.00540648778534241,0,0,0,0,0,0,0
"ASV706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128612716763006,0,0,0.00516289834431191,0,0,0.00941402497598463,0,0,0,0,0,0,0,0,0,0,0
"ASV825",0,0,0.00456578456951174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155161881490531,0,0,0,0.0129752564876282,0,0,0.0447478194918468,0,0,0.0240723038150691,0,0,0.025667483554753,0,0,0.0870131561807998,0,0,0.0979118329466357,0,0,0.0164126611957796,0,0,0,0,0,0
"ASV11",0,0,0,0,0.0258532857870606,0,0,0,0,0,0,0,0.0630505331478906,0,0,0.0629505664263646,0,0,0,0.0677146311970979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
