"","kingdom","phylum","class","order","family","genus","species"
"ASV461","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaeraceae","Oligosphaeraceae","uncultured_bacterium"
"ASV940","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","uncultured_Spirochaeta"
"ASV1033","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","uncultured","uncultured_bacterium"
"ASV27","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured","uncultured_bacterium"
"ASV471","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus_Thiobios","uncultured_bacterium"
"ASV111","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Perspicuibacter","uncultured_bacterium"
"ASV299","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","uncultured_bacterium"
"ASV1017","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured_bacterium"
"ASV231","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix","uncultured_bacterium"
"ASV502","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","Hirschia_baltica"
"ASV82","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_bacterium"
"ASV462","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Salinivirgaceae","uncultured","uncultured_bacterium"
"ASV1003","Bacteria","WPS-2","WPS-2","WPS-2","WPS-2","WPS-2","marine_metagenome"
"ASV888","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88","EV818SWSAP88","EV818SWSAP88","uncultured_gamma"
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured_bacterium"
"ASV647","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Sunxiuqinia","Sunxiuqinia_elliptica"
"ASV171","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Cohaesibacter","uncultured_bacterium"
"ASV557","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","AB1","AB1","uncultured_Alphaproteobacteria"
"ASV26","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade","uncultured_Haliea"
"ASV652","Bacteria","LCP-89","LCP-89","LCP-89","LCP-89","LCP-89","uncultured_bacterium"
"ASV894","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadales","Bradymonadales","uncultured_bacterium"
"ASV398","Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinivibrionaceae","possible_genus_03","uncultured_bacterium"
"ASV116","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Pelagicoccus","uncultured_bacterium"
"ASV824","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured","uncultured","uncultured_bacterium"
"ASV706","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales","Babeliales","uncultured_bacterium"
"ASV825","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured","uncultured_Rhizobiales"
"ASV23","Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Thioflexothrix","Beggiatoa_sp."
"ASV11","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Flavobacteriaceae"
"ASV340","Bacteria","Firmicutes","Bacilli","Izemoplasmatales","Izemoplasmataceae","Izimaplasma","uncultured_organism"
"ASV112","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","uncultured_bacterium"
"ASV1020","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","uncultured","uncultured_bacterium"
"ASV113","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","marine_metagenome"
"ASV346","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","MBIC10086","Pseudanabaena_cf."
"ASV855","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Microscilla","uncultured_bacterium"
"ASV508","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","uncultured_bacterium"
"ASV35","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","Neptuniibacter_caesariensis"
"ASV295","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group","uncultured_deep-sea"
"ASV204","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","KI89A_clade","KI89A_clade","uncultured_gamma"
"ASV806","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_Acidimicrobiales"
"ASV1079","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus_PCC-7305","Xenococcus_sp."
"ASV169","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium","uncultured_bacterium"
"ASV843","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","uncultured","marine_metagenome"
"ASV137","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","uncultured_bacterium"
"ASV569","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","uncultured_Bacteroidetes"
"ASV297","Bacteria","Firmicutes","Bacilli","Izemoplasmatales","Izemoplasmatales","Izemoplasmatales","uncultured_bacterium"
"ASV667","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_SAR324"
"ASV46","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas","uncultured_bacterium"
"ASV32","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina","uncultured_bacterium"
"ASV724","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group","alpha_proteobacterium"
"ASV33","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_bacterium"
"ASV882","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia","Parachlamydiaceae_bacterium"
"ASV1093","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group","uncultured_bacterium"
"ASV405","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Bacteroidetes"
"ASV704","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Oleiagrimonas","uncultured_Xanthomonadaceae"
"ASV263","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","uncultured","uncultured_bacterium"
"ASV736","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","planctomycete_DDSW1318"
"ASV334","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncultured","uncultured_bacterium"
"ASV884","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfopila","uncultured_delta"
"ASV123","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","uncultured","uncultured_bacterium"
"ASV1023","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","uncultured","uncultured","uncultured_bacterium"
"ASV308","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","uncultured","uncultured_bacterium"
"ASV230","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","uncultured_Bacteroidetes"
"ASV1018","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calorithrix","uncultured_bacterium_bacterium"
"ASV844","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_planctomycete"
"ASV245","Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80","pItb-vmat-80","pItb-vmat-80","uncultured_gamma"
"ASV773","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured","uncultured","alpha_proteobacterium"
"ASV254","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales","Dadabacteriales","uncultured_organism"
"ASV265","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","uncultured","uncultured_bacterium"
"ASV146","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307","uncultured_bacterium"
"ASV21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group","uncultured_Alphaproteobacteria"
"ASV666","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92_clade","Alteromonadaceae_bacterium"
"ASV979","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","uncultured","uncultured_bacterium"
"ASV562","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","uncultured_Saccharicrinis"
"ASV926","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella","uncultured_Saprospiraceae"
"ASV357","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Stappiaceae","uncultured_Alphaproteobacteria"
"ASV1005","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Diplosphaera","uncultured_bacterium"
"ASV202","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae","uncultured_bacterium"
"ASV929","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","uncultured_bacterium"
"ASV698","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","MSBL3","uncultured_bacterium"
"ASV1027","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","marine_metagenome"
"ASV649","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10","uncultured_bacterium"
"ASV622","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria","uncultured_bacterium"
"ASV712","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured","uncultured_actinobacterium"
"ASV81","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Malaciobacter","uncultured_bacterium"
"ASV145","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Phormidesmis_ANT.LACV5.1","Schizotrichaceae_cyanobacterium"
"ASV470","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Spirochaeta_isovalerica"
"ASV995","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","uncultured_organism"
"ASV973","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema","Brevinema_andersonii"
"ASV679","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","uncultured_bacterium"
"ASV1102","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_bacterium"
"ASV987","Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","uncultured_bacterium"
"ASV335","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium_PCC-7375","Leptolyngbya_sp."
"ASV551","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_lutea"
"ASV250","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","uncultured_bacterium"
"ASV260","Bacteria","Proteobacteria","Gammaproteobacteria","BD72BR169","BD72BR169","BD72BR169","uncultured_bacterium"
"ASV94","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus","uncultured_bacterium"
"ASV678","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Phormidium_ETS-05","filamentous_cyanobacterium"
"ASV976","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured_planctomycete"
"ASV400","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","uncultured_bacterium"
"ASV709","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas","uncultured_bacterium"
"ASV1031","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","uncultured_Roseibacillus"
"ASV391","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas","uncultured_Saprospiraceae"
"ASV537","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella","Uncultured_Pseudospirillum"
"ASV683","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Bacteroidetes"
"ASV3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Flavobacteriia"
"ASV69","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","uncultured_bacterium"
"ASV781","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Chroococcidiopsis_PCC-6712","uncultured_cyanobacterium"
"ASV1092","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","uncultured_Campylobacterales"
