"","sa1","sa2","sa3","sa4","sa5","sa6","sa7","sa8","sa9","sa10","sa11","sa12","sa13","sa14","sa15","sa16","sa17","sa18","sa19","sa20","sa21","sa35","sa36","sa37","sa38","sa39","sa40","sa41","sa42","sa43","sa44","sa45","sa46","sa47","sa48","sa49","sa50","sa51","sa52","sa56","sa57","sa59","sa60","sa62","sa63"
"1CMET2-PWY",0.00525150128890475,0.00544708623876931,0.00605051721118282,0.0057254962219509,0.00588251842789985,0.00604457476924147,0.00622776283781604,0.00504414291253126,0.00593903751378965,0.00558499770896223,0.00587873393738792,0.00563973348158804,0.00592074811124311,0.00542042035549061,0.00592320691397615,0.00497560926968433,0.00480445397419216,0.00564120352314654,0.00525168262346388,0.00496615693225757,0.00439474749381598,0.00574569668524164,0.00563858754320313,0.00554583560309428,0.00557753296319732,0.00433449367718281,0.00566778060294887,0.00593671300489116,0.00552871336300252,0.00570704927843479,0.005571667638869,0.00468712262128795,0.00545242588332186,0.00561790347057392,0.00541358129215214,0.00552773989265459,0.00567348525743706,0.00502377317635713,0.00606580441253722,0.00595370046004776,0.00585772674077971,0.00549635753366093,0.00633382523113856,0.00533852350734307,0.00637548399109964
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.000134265851812258,0,5.76037052311062e-05,0.000125519264841819,0,0,5.69039020094115e-05,0,0,0,0,0,0,0,0,0,1.85005226211738e-06,0.000193618834068785,0.00233215636915806,0.00035384839860814,0,0,1.65221696425865e-05,0.000292801862597457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY",0.000150278958207033,0,0,0,0,0,0.000285029720378684,0,0,0,0,0,0,0.000145189551432335,0,0,0,0,0.000908603274865272,0,0,3.65477368940548e-05,0,0,0,0,0,1.8535699577236e-05,0,0,0,0,0,0,4.48940744920117e-05,0,0,0,0,0,0,0.000329511540816466,0,0,0
"ALL-CHORISMATE-PWY",0.00179035890854716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176792822453771,0,0,0.0023754248150576,0,0,0,0.000661117306544819,0.00155459008950187,0,0,0,0,0,0,0.00181389203600919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANAEROFRUCAT-PWY",0.00252598165680778,0.00534006144137353,0.00460325969614059,0.00373803192018569,0.00376935811339373,0.00250503247446005,0.00158565535173939,0.0047473566046435,0.00372578901563284,0.00130528122750451,0.00342510758408462,0.00295225810760743,0.00256821432315721,0.0023422381490518,0.00253943283060452,0.00446908409884235,0.00250170146382272,0.00190746753899785,0.00271588557633421,0.00368513350530632,0.00208757887653247,0.00460998185936698,0.00385785001519365,0.00290945547782412,0.00428124901735283,0.000708053475306885,0.00285961062472186,0.0011209215311625,0.00214249384095472,0.0029446487730209,0.00188670415449829,0.00173753741795172,0.00286752385104059,0.00135927966529712,0.00421391704113703,0.0035171971152041,0.0035011993447881,0.00462435611180974,0.00388647661187755,0.00362392913767543,0.00432903374786443,0.00293137700166146,0.00118770502641488,0.00305397345229975,0.00342904701583619
"ANAGLYCOLYSIS-PWY",0.00699168017973205,0.00648675935976921,0.00725149280910287,0.00667383420561113,0.00635538162643943,0.00612358022383499,0.00665586365086341,0.00651290661811722,0.0071233822782653,0.00713597047029403,0.00717190169848612,0.00667474732674196,0.0071140431462544,0.00723488782106669,0.006712231501166,0.00615601526049518,0.00696021411074785,0.00708860911549235,0.00556940615575157,0.00558143789314422,0.00719013939816014,0.00702483542022432,0.00673805609414091,0.00674174490368553,0.00690355469244576,0.00725860274654628,0.00707456588676652,0.00725572571292148,0.00708969771870609,0.00738420671003897,0.00690505701356562,0.00655146487482889,0.00669951857109171,0.00724076625445163,0.00694265348776833,0.00694463751737366,0.00731757039957269,0.0073489927923365,0.00799605882548497,0.00680494786874787,0.00683324285077874,0.00646332980168176,0.00661404390615089,0.00642311554604026,0.0071435411789734
"ARG+POLYAMINE-SYN",0.0022892835856131,0.00153065585684201,0.00174387441643206,0.00186164661557374,0.00139875825296078,0.00244697772823734,0.000647591858705454,0.000335509580451561,0.00123750875311529,0.00219815012484909,0.00200925633794314,0.00236049469796118,0.00133988628764228,0.00075023145718878,0.00242209993621699,0.00155594862048727,0.00163754933451772,0.00115560573070173,0.0028543958601717,0.00212397528704361,0.00142606588937525,0.00216898291781333,0.00164380513094405,0.00231462018141396,0.0023076617202413,0.00216947108732434,0.00117253489754874,0.00129630681489776,0.00212498739409253,0.00174782785284521,0.00160158603334474,0.00212173644479345,0.00190651328579625,0.000417377602920831,0.00157772650467609,0.00102554295113561,0.0015405657658956,0.00190776274824055,0.000507416812579845,0.00165683261172867,0.00231265939256281,0.00193176568954564,0.00205339359692411,0.00247110539969744,0.00210158278033099
"ARGDEG-PWY",0.000208575532861255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202977386455229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGORNPROST-PWY",0.00021022824661432,0.000122928672767349,0,0.000659893601110219,0.000388875472615003,0.000112518066757424,0,0.00141204010613655,0.00123901125227205,0.000414445120209154,0,0.000189002090322024,9.24499358215724e-05,0.000526595704796931,0.000679609927214634,0.000614289156377568,0.00147447101691488,0.000504825085936136,0.00269882437278454,0.000956837167144485,0.00133852141046774,0.000175000565009353,0.000553677666534059,0.00133842050844792,0,0,0.0012922459599034,0,0,0.00129127763441624,0.000507966734363192,0.000462727551776342,0.00133935183071851,0,0.000498412367551424,0.00127142687370774,0.000408114916513132,0.000119397780854789,0.00192909209675753,0.000215832952091417,9.37399969954363e-05,0,0.000367302674195145,0.000460815785815419,0.000278651971806561
"ARGSYN-PWY",0.00524601476811372,0.00545746970883658,0.00535867852428996,0.00514857271641435,0.00546687952724199,0.00597614249496029,0.00554963110648095,0.00582128910522769,0.00563488411136458,0.00525481944841229,0.00502773363248493,0.00525268389711672,0.00553296967276007,0.00531740618353151,0.00613469151230329,0.00572294801215611,0.00559866043509884,0.00539123097339571,0.00483067810749289,0.00547925852611647,0.00612567581699459,0.00518861134786394,0.00509044652795981,0.00525185048164353,0.00480794355844901,0.005798143766289,0.00549412970174215,0.00472195974997428,0.00513536942497685,0.005722833982028,0.00513539517287048,0.00538326713977921,0.00519360428243209,0.00509909409420047,0.00521507160096706,0.00544033597064339,0.00484775852468782,0.00433474841987242,0.00591682292099675,0.00537788315887068,0.00509845474725759,0.00529272283957879,0.00550377777207909,0.00535983034402172,0.0055065190805073
