"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SEnd1.WAT","SEnd2.WAT","SEnd3.WAT","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS","WEnd1.WAT","WEnd2.WAT","WEnd3.WAT","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV713",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136730888750777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897812602024159,0,0,0,0,0,0,0,0,0
"ASV166",0,0,0,0,0,0,0,0.00850411264463962,0,0,0,0,0.00512820512820513,0.0141392169049099,0,0,0,0,0,0,0,0,0.00302652661563112,0,0,0,0,0,0,0,0,0,0,0,0,0.0136922176711527,0.00488665671236596,0.0452007444828503,0,0.007903981264637,0,0,0
"ASV233",0,0,0,0,0,0,0,0,0,0.0168882500898311,0,0,0,0,0,0.00581468840854506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064745437079731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV38",0.0107252747252747,0.0475038486914449,0,0,0.0865531415149736,0.104448742746615,0,0.082113481109717,0,0,0,0,0,0,0,0,0,0,0.0226818458329712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV162",0.00527472527472527,0,0.0432758438260502,0.0423808039887816,0,0,0.0120925341745531,0,0.0390171459430269,0,0,0,0,0,0,0.00669953229680192,0,0,0.0118188928478318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV918",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714729645742697,0,0,0,0,0,0,0,0,0,0,0,0.00422670509125841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015681233933162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534927627438641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
