"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS"
"ASV461",0,0,0,0.0153734288978913,0,0,0,0,0,0,0,0,0,0,0,0.0118188928478318,0,0,0,0,0,0,0,0,0.00846867749419954,0,0,0.00762016412661196
"ASV27",0,0,0,0,0,0,0,0,0,0,0.0343380981976383,0,0,0.0182504719949654,0,0.00147736160597897,0.0326589595375723,0,0,0.0630229659960833,0,0,0.0303554274735831,0.00467537987461481,0,0.064740615773935,0,0
"ASV471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187935034802784,0,0,0
"ASV111",0,0,0,0,0,0,0,0,0,0,0,0.0183531746031746,0,0,0,0,0.0536127167630058,0,0,0,0,0,0,0,0,0,0,0
"ASV231",0,0,0,0,0,0,0,0,0,0,0,0,0.00379218809252939,0,0,0,0,0,0,0,0.00275750202757502,0,0,0,0,0,0,0
"ASV462",0.0137142857142857,0,0,0.0171392957307572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1003",0,0,0,0,0.00164415736934821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037122969837587,0,0,0
"ASV888",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833857772183763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV20",0,0,0,0,0.000704638872577804,0,0,0,0,0,0,0,0.0267981291872077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV695",0,0,0,0,0,0,0,0,0.0124206831375726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV912",0,0,0,0,0.00551967116852613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187861271676301,0,0,0,0,0,0,0,0,0,0,0
"ASV652",0,0,0,0.00238911395034798,0.012096300645919,0,0,0,0,0,0,0,0.00176968777651372,0,0,0.00643086816720257,0,0,0,0,0,0.00872736746124788,0,0,0.004292343387471,0,0,0.00996483001172333
"ASV398",0,0,0,0,0,0,0,0.0262093963474139,0,0,0,0,0.00733156364555682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV116",0,0,0,0,0,0,0,0,0,0,0,0,0.00227531285551763,0,0,0,0,0,0,0,0.059367396593674,0,0,0,0,0,0,0
"ASV824",0,0,0,0,0,0,0,0,0,0,0,0.0048776455026455,0,0,0,0,0,0.00475578406169666,0,0,0,0,0,0,0,0,0.00540648778534241,0
"ASV706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128612716763006,0,0,0.00516289834431191,0,0,0.00941402497598463,0,0,0,0,0
"ASV23",0,0.0233120738948757,0.0121680245476669,0,0.0387551379917792,0,0,0,0,0,0,0,0.0447478194918468,0,0,0.0240723038150691,0,0,0.025667483554753,0,0,0.0870131561807998,0,0,0.0979118329466357,0,0,0.0164126611957796
"ASV340",0,0,0,0.0218136491118729,0,0,0,0,0,0,0,0,0,0,0,0.00608325367167811,0,0,0,0,0,0,0,0,0,0,0,0
"ASV846",0,0,0,0,0.00716382853787434,0,0,0,0,0.0100610851598994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV723",0.00756043956043956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV271",0.0213626373626374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488789714164276,0,0,0,0
"ASV346",0,0,0,0,0,0,0,0,0,0,0,0.00669642857142857,0,0.0165198237885463,0,0,0.00404624277456647,0.0134961439588689,0,0,0.013463098134631,0,0,0,0,0,0,0
"ASV855",0,0.00142951396525181,0,0,0.00681150910158544,0,0,0,0,0,0,0.0048776455026455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV35",0,0.0306795689465582,0,0,0,0.0428755641521599,0,0.107904642409034,0,0.150556952928494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV295",0,0,0,0,0,0,0,0,0,0,0,0,0.00657312602705094,0,0,0,0,0,0,0.040591062844935,0,0,0,0,0,0,0,0
"ASV204",0,0,0,0,0,0,0,0,0,0,0,0.0121527777777778,0,0,0,0,0,0,0,0,0,0,0,0.0193390712995431,0,0,0,0
"ASV1079",0,0,0,0,0,0,0,0,0,0,0,0,0.00214890658576665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV169",0,0.0144051022652298,0.0576658554650302,0.0520411343097538,0.012096300645919,0,0.0345250613389415,0,0.0157958687727825,0,0,0,0.0163064087978764,0,0,0.0119057964717129,0,0,0.0198632787308139,0,0,0.0200599192392862,0,0,0.00498839907192575,0,0,0
"ASV137",0,0,0,0,0,0,0,0,0.0120156608613474,0,0,0,0,0,0,0,0,0,0,0,0,0.0122443662889149,0,0,0,0,0,0
"ASV297",0,0.0248515504728392,0.0132261136387684,0.00592084761607978,0.00786846741045214,0,0,0,0.00837046037532064,0,0,0,0.0192137530021489,0,0,0.0177283392717476,0,0,0.0121243389655617,0,0,0,0,0,0,0,0,0
"ASV46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245501285347044,0,0,0,0,0,0,0,0,0,0
"ASV32",0,0,0,0,0,0,0,0,0,0,0,0,0.00176968777651372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV33",0,0.019793270288102,0,0,0.00528479154433353,0.0109606705351386,0,0,0,0.0388070427596119,0.105811062771908,0.00529100529100529,0.0366578182277841,0.0552234109502832,0.0787980668207607,0.00747371165377596,0.0241329479768786,0.0263496143958869,0.0190893847542887,0.0959586968132455,0.03779399837794,0.0122443662889149,0.0958693563880884,0.00871320794814579,0.0109048723897912,0.0105440742302826,0.0979175010012014,0.0041031652989449
"ASV1093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173410404624277,0,0,0,0,0,0,0,0,0,0,0
"ASV438",0,0,0,0,0,0.0185364281108962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV334",0,0,0,0,0,0,0,0,0,0,0,0.017609126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0.0450745952809227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347614495524463,0,0,0,0,0,0,0,0,0,0,0,0
"ASV844",0,0,0,0,0,0,0,0,0,0.00197628458498024,0,0,0.00492984452028821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340027627244714,0,0,0,0
"ASV773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963918197212453,0,0,0,0,0,0
"ASV254",0,0,0,0,0,0,0,0,0,0,0.0393101305158484,0,0,0,0,0,0.00997109826589595,0,0,0.0416592487092754,0,0,0.0340057636887608,0,0,0.0202446225221426,0,0
"ASV265",0,0.0151748405542116,0,0,0,0,0,0,0,0,0,0,0.0203514094299077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520231213872832,0,0,0,0,0,0,0,0,0,0,0
"ASV562",0.0036043956043956,0,0,0,0.00246623605402231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116966580976864,0,0,0,0,0,0.0310275209860801,0,0,0,0
"ASV698",0,0,0,0,0,0,0,0,0,0,0,0,0.00442421944128429,0,0,0.00799513339706266,0,0,0.00838385141235651,0,0,0,0,0,0,0,0,0.00656506447831184
"ASV649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231140996007565,0,0,0.0133676092544987,0,0,0,0,0,0,0,0,0,0
"ASV622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161849710982659,0,0,0,0,0,0,0,0,0,0,0
"ASV81",0,0,0,0,0,0,0,0,0,0,0,0,0.0537226646441663,0,0,0,0,0,0.030568812072746,0,0,0.016021883548261,0,0,0,0,0,0
"ASV470",0.0181978021978022,0,0,0,0.00739870816206694,0,0.0282159130739572,0,0.0207911435128932,0.0167085878548329,0,0,0,0,0,0,0,0,0,0,0,0.0106812556988407,0,0,0,0,0,0
"ASV995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295472321195794,0,0,0,0,0,0,0,0,0,0,0,0
"ASV973",0,0,0,0,0,0,0,0,0,0,0,0.00305886243386243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV679",0,0,0,0,0,0,0,0,0,0,0.00310752019888129,0,0,0.00456261799874135,0.0203824332843034,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442851117671868,0,0
"ASV335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345498783454988,0,0,0,0,0,0,0
"ASV551",0,0,0,0,0,0,0,0.0158929318276872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112974711045451,0,0,0,0,0,0,0,0,0.00603248259860789,0,0,0
"ASV94",0,0,0,0,0,0.0344938749194068,0,0.0151958734141921,0,0.105282069708947,0.00357364822871349,0,0,0,0,0,0,0,0,0.00284849563824105,0,0,0,0,0,0,0,0
"ASV678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203824332843034,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV186",0,0,0,0,0,0,0.0525762355415352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123276561232766,0,0,0,0,0,0,0
"ASV1031",0,0,0,0,0,0,0,0,0,0,0,0,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV69",0,0,0,0,0,0,0,0,0,0,0,0.0140542328042328,0,0,0,0,0,0.0347043701799486,0,0,0.0145985401459854,0,0,0,0,0,0,0
"ASV781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00950892275628501,0,0,0,0,0,0
"ASV960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694320811821257,0,0,0,0,0,0,0,0
