"","kingdom","phylum","class","order","family","genus","species"
"ASV938","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus","uncultured_deep-sea"
"ASV585","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_organism"
"ASV117","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","uncultured","uncultured_bacterium"
"ASV402","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Marinicella","uncultured_bacterium"
"ASV75","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","uncultured","uncultured_bacterium"
"ASV587","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","uncultured_bacterium"
"ASV1111","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","uncultured","uncultured_bacterium"
"ASV346","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","MBIC10086","Pseudanabaena_cf."
"ASV143","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicellaceae","uncultured_bacterium"
"ASV669","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20","uncultured_organism"
"ASV773","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured","uncultured","alpha_proteobacterium"
"ASV6","Bacteria","uncultured","uncultured","uncultured","uncultured","uncultured","uncultured_bacterium"
"ASV130","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Shimia","Rhodobacteraceae_bacterium"
"ASV185","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium","uncultured_Gram-positive"
"ASV689","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_Planctomycetales"
"ASV917","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella","uncultured_marine"
"ASV380","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Croceitalea","Croceitalea_sp."
"ASV507","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","Flagellimonas_sp."
"ASV939","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","uncultured","uncultured_proteobacterium"
"ASV284","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales","Dadabacteriales","uncultured_bacterium"
