"","WSt1.1A.04.GEL","WSt1.1A.COR","WSt1.WMS","WSt2.1A.05.GEL","WSt2.1C.COR","WSt2.WMS","WSt3.1A.06.GEL","WSt3.2C.COR","WSt3.WMS"
"ASV166",0,0.0136922176711527,0.00488665671236596,0.0452007444828503,0,0.007903981264637,0,0,0
"ASV339",0,0,0,0,0,0,0,0.0193329668315925,0
"ASV837",0,0,0,0.00531773464504121,0.00422042686603159,0,0,0,0
"ASV148",0,0,0,0,0.0168817074641264,0.113144028103044,0.0181924028525688,0,0.00636205899363794
"ASV438",0,0,0,0,0,0,0,0,0.0202429149797571
"ASV470",0,0,0,0,0,0,0.00873235336923301,0,0
"ASV192",0.0134350816852966,0,0,0,0,0.0117096018735363,0,0.0407733186732637,0.00370156159629844
"ASV1102",0,0,0,0.000797660196756182,0,0,0,0,0
"ASV405",0,0.0108835576360445,0.019275145920999,0,0,0,0,0,0
"ASV485",0,0,0,0,0,0,0.00887789259205356,0,0
"ASV324",0,0,0,0,0,0,0.0107699024887207,0,0
"ASV800",0,0,0,0,0,0,0,0.00522264980758659,0
"ASV72",0.0133276010318143,0,0,0,0,0,0,0,0
"ASV65",0,0,0,0,0.00880260460629446,0,0,0,0
"ASV628",0,0,0,0,0,0,0,0.00962067069818582,0
"ASV611",0,0,0.0158816343151894,0,0,0,0,0,0
"ASV409",0,0,0,0.0247274660994416,0,0,0,0,0
"ASV560",0.0139724849527085,0,0.0077372064612461,0,0,0,0,0.00366501740883269,0
"ASV216",0,0,0,0.0227333156075512,0,0,0,0,0
"ASV468",0,0,0,0.0138261100771072,0,0.0188817330210773,0.00756803958666861,0,0.0124927703875072
"ASV275",0,0,0,0,0.0270107319426022,0,0,0,0
"ASV719",0,0,0,0,0.018569878210539,0,0,0,0
"ASV18",0,0,0,0,0.0110936934764259,0,0,0.0276708814366868,0
"ASV73",0.00451418744625967,0,0,0,0,0.00731850117096019,0,0,0
"ASV656",0,0,0,0,0,0,0.0104788240430796,0,0
"ASV116",0,0.00210649502633119,0,0.0146237702738633,0,0,0.00916897103769466,0,0
"ASV1020",0,0,0,0.00172826375963839,0,0,0,0,0
"ASV445",0,0,0,0.0228662589736772,0,0,0,0,0
"ASV102",0.0195614789337919,0,0,0.0507843658601436,0,0.022248243559719,0.0416242177266773,0,0
"ASV453",0,0,0.0099090538889643,0,0,0,0,0.0154846985523181,0
"ASV1023",0,0.00304271503803394,0,0,0,0,0,0,0
"ASV1027",0,0,0,0.00372241425152885,0,0,0,0,0
"ASV655",0,0,0,0,0,0,0,0.00943741982774418,0
"ASV258",0,0.0146284376828555,0.0342065969865617,0,0,0,0,0,0
"ASV577",0,0,0,0,0,0,0,0.00613890415979476,0
"ASV599",0,0,0,0,0.0133847823465573,0,0,0,0.00358588779641411
"ASV1013",0.0032244196044712,0,0,0,0,0,0,0,0
"ASV207",0.00849097162510748,0,0,0,0,0,0,0,0
"ASV92",0,0,0,0.0505184791278915,0,0,0,0,0
"ASV767",0,0,0,0,0,0,0,0,0.00867553499132447
"ASV89",0,0.0368636629607958,0,0,0.0379838417942843,0,0,0,0
"ASV54",0.0986672398968186,0.0415447630193095,0.0852450115379395,0.0720553044403084,0.0678885807307368,0.0627927400468384,0.0218308834230825,0.152647975077882,0.149450549450549
"ASV1067",0,0,0,0,0,0.00292740046838408,0,0,0
"ASV242",0.019883920894239,0,0,0,0,0,0,0.0238226131574125,0
"ASV725",0,0,0,0,0,0,0,0.00256551218618288,0
"ASV59",0.00386930352536543,0,0,0,0,0,0,0,0
"ASV308",0,0,0,0,0.0267695646931147,0,0,0,0
"ASV46",0,0,0,0,0,0,0,0,0.0333140543666859
"ASV796",0,0.00819192510239906,0.00909461110356997,0.00518479127891518,0,0,0,0.00329851566794942,0
"ASV827",0,0,0,0,0,0,0,0.00595565328935312,0
"ASV913",0,0,0,0,0.00229108887013144,0,0,0,0
"ASV22",0.00634135855546002,0.112814511410181,0.0593185828695534,0,0.0957433980465453,0.0374707259953162,0.01586377528744,0.0224482316291002,0.0225563909774436
"ASV370",0.00752364574376612,0,0,0,0,0,0,0,0
"ASV217",0,0,0,0,0.00687326661039431,0,0,0,0
"ASV956",0,0.00339379754242247,0,0,0,0,0,0,0
"ASV718",0,0,0,0,0,0,0,0.00192413413963716,0
"ASV33",0.0343938091143594,0.0485664131070802,0.0609474684403421,0.0866790747141718,0.00602918123718799,0.0393735362997658,0,0.0269378779549203,0.0513591671486408
"ASV1028",0,0,0,0,0,0,0,0.00256551218618288,0
"ASV244",0,0,0,0,0,0.00731850117096019,0,0,0
"ASV676",0,0,0,0,0.00602918123718799,0,0,0,0
"ASV8",0.071152192605331,0,0,0,0,0,0,0.0480117280557083,0.0260266049739734
"ASV231",0,0,0,0,0,0,0,0.0147516950705516,0
"ASV657",0,0.0119368051492101,0.00393647346273924,0,0,0,0,0,0
"ASV253",0.00236457437661221,0,0.021718474277182,0.00558362137729327,0,0.0204918032786885,0,0.00375664284405351,0
"ASV1059",0,0,0,0,0,0,0,0,0.00254482359745518
"ASV311",0.00107480653482373,0,0,0,0,0,0,0.0116364302730438,0
"ASV1058",0,0,0,0,0,0.00322014051522248,0,0,0
"ASV544",0,0.00737273259215916,0,0.0119649029513427,0.0132641987218136,0,0,0,0
"ASV606",0,0,0.0160173747794217,0,0,0,0,0,0
"ASV458",0,0,0,0,0,0,0,0.0153014476818765,0
"ASV1026",0,0,0,0.00372241425152885,0,0,0,0,0
"ASV129",0,0,0,0,0.00108525262269384,0.0305913348946136,0,0,0.00520532099479468
"ASV122",0.0153697334479794,0,0,0.0635469290082425,0,0,0.0400232862756513,0,0
"ASV808",0,0,0,0,0,0,0,0,0.00312319259687681
"ASV766",0.00795356835769562,0,0,0,0,0,0,0.0068719076415613,0
"ASV732",0,0,0,0.00491890454666312,0,0,0,0,0
"ASV1051",0,0.00269163253364541,0,0,0,0,0,0,0
"ASV333",0,0,0,0.0113001861207126,0,0,0,0,0
"ASV592",0.0130051590713672,0,0,0,0,0,0,0,0
"ASV882",0,0.00631948507899356,0,0,0,0,0,0,0
"ASV536",0,0,0,0,0,0,0.020375491194877,0,0
"ASV397",0,0,0,0,0.0227903050765706,0,0,0,0
"ASV237",0,0.0197776477472206,0,0,0,0,0.0212487265318003,0.0251969946857248,0
"ASV263",0,0,0,0,0.03014590618594,0,0,0,0
"ASV520",0,0.0170860152135752,0,0,0,0,0,0,0
"ASV757",0.00526655202063629,0,0,0,0,0,0,0,0
"ASV997",0,0,0,0,0,0,0,0,0.00393290919606709
"ASV110",0,0,0.0226686575268087,0,0,0,0,0,0.0238288027761712
"ASV870",0,0,0.00760146599701371,0,0,0,0,0,0
"ASV714",0,0.0102984201287303,0,0.00518479127891518,0,0,0,0.00155763239875389,0
"ASV543",0.00537403267411866,0,0,0,0.0143494513445074,0.0201990632318501,0,0,0.00543666859456333
"ASV502",0.00838349097162511,0,0,0.0199415049189045,0,0,0,0,0
"ASV797",0,0,0,0,0,0.0102459016393443,0,0,0
"ASV820",0,0,0,0,0,0,0,0,0.00763447079236553
"ASV400",0,0.00819192510239906,0,0,0,0,0,0,0
"ASV923",0,0,0,0,0.00108525262269384,0,0.00654926502692476,0,0
"ASV27",0.0117153912295787,0.00994733762434172,0,0,0,0,0,0,0
"ASV326",0,0.00550029256875366,0,0,0,0,0,0.0197910940076965,0
"ASV551",0,0,0,0,0.0159170384661763,0,0,0,0
"ASV622",0,0.00456407255705091,0.00515813764083073,0,0,0.00541569086651054,0,0,0
"ASV936",0,0,0,0,0.00518509586398167,0,0,0,0
"ASV477",0,0,0,0.00252592395639458,0,0,0,0,0
"ASV776",0,0,0,0,0,0,0,0.00678028220634048,0
"ASV833",0,0,0,0,0,0,0,0.00586402785413231,0
"ASV583",0,0,0,0,0.00325575786808151,0,0.0180468636297482,0,0.00300751879699248
"ASV1000",0,0,0,0,0.00397925961654407,0,0,0,0
"ASV452",0,0,0,0,0,0.0247365339578454,0,0,0
"ASV160",0,0,0.0249762454187593,0,0.0142288677197637,0,0,0.0307861462341946,0.0134181607865818
"ASV572",0,0,0.0138455273517035,0,0,0,0,0,0
"ASV69",0.00902837489251935,0,0,0.013028449880351,0,0,0.0330374035802649,0,0
